date,sentiment,metro_area,county_code
2020-05-23,0.07242428956775544,LosAngeles,06037
2020-04-20,0.1889999999999997,Houston,48201
2020-10-12,0.3760416666666665,SanDiego,06073
2020-11-10,0.36818181818181805,SanAntonio,48029
2020-10-04,0.13641440863663076,NewYork,36061
2020-10-05,0.6000000000000001,Philadelphia,42101
2020-11-23,0.3125,Chicago,13075
