date,sentiment,metro_area,county_code
2020-07-12,0.0964285714285714,Phoenix,04013
2020-07-13,0.12319223985890668,Phoenix,04013
2020-07-14,0.18749999999999975,Phoenix,04013
2020-07-15,0.312222222222222,Phoenix,04013
2020-07-16,-0.002499999999999991,Phoenix,04013
2020-07-17,0.22083333333333335,Phoenix,04013
2020-07-18,0.12018151087595512,Phoenix,04013
2020-07-19,0.18660714285714275,Phoenix,04013
2020-07-20,0.09741496598639486,Phoenix,04013
2020-07-21,0.071875,Phoenix,04013
2020-07-22,0.25694444444444436,Phoenix,04013
2020-07-23,0.17908549783549774,Phoenix,04013
2020-07-24,0.13667929292929268,Phoenix,04013
2020-07-25,0.14722222222222234,Phoenix,04013
2020-07-26,0.308630385487528,Phoenix,04013
2020-07-27,0.1722222222222225,Phoenix,04013
2020-07-28,0.22506087662337632,Phoenix,04013
2020-07-29,0.23458333333333325,Phoenix,04013
2020-07-30,0.05904786501377401,Phoenix,04013
2020-07-31,0.23512987012987,Phoenix,04013
2020-08-01,0.26423115079365067,Phoenix,04013
2020-08-02,0.25078363279712684,Phoenix,04013
2020-08-03,0.0712916666666668,Phoenix,04013
2020-08-04,0.017786458333333255,Phoenix,04013
2020-08-05,0.10917486944272643,Phoenix,04013
2020-08-06,-0.045833333333333504,Phoenix,04013
2020-08-07,0.07797874579124588,Phoenix,04013
2020-08-08,0.0977543290043288,Phoenix,04013
2020-08-09,0.335,Phoenix,04013
2020-08-10,0.0,Phoenix,04013
2020-08-11,0.14223484848484835,Phoenix,04013
2020-08-12,0.1168126803751803,Phoenix,04013
2020-08-13,0.13395061728395052,Phoenix,04013
2020-08-14,0.25926870748299313,Phoenix,04013
2020-08-15,0.06886273448773433,Phoenix,04013
2020-08-16,0.32034271284271254,Phoenix,04013
2020-08-17,0.16428402326839825,Phoenix,04013
2020-08-18,0.3074305555555554,Phoenix,04013
2020-08-19,0.041666666666666664,Phoenix,04013
2020-08-20,-0.09751815025252526,Phoenix,04013
2020-08-21,0.15954861111111113,Phoenix,04013
2020-08-22,0.01861111111111101,Phoenix,04013
2020-08-23,0.26420537217412216,Phoenix,04013
2020-08-24,0.2416666666666667,Phoenix,04013
2020-08-25,0.1712515782828282,Phoenix,04013
2020-08-26,0.46011904761904737,Phoenix,04013
2020-08-27,-0.001741622574955896,Phoenix,04013
2020-08-28,0.26706649831649815,Phoenix,04013
2020-08-29,0.119031746031746,Phoenix,04013
2020-08-30,0.3405911796536794,Phoenix,04013
2020-08-31,-0.019673295454545624,Phoenix,04013
2020-09-01,0.023852092352092402,Phoenix,04013
2020-09-02,0.22638888888888867,Phoenix,04013
2020-09-03,-0.0363080808080808,Phoenix,04013
2020-09-04,0.025225468975468877,Phoenix,04013
2020-09-05,0.04523809523809501,Phoenix,04013
2020-09-06,0.37729096610235,Phoenix,04013
2020-09-07,0.16401289682539658,Phoenix,04013
2020-09-08,0.04166666666666651,Phoenix,04013
2020-09-09,0.07305555555555557,Phoenix,04013
2020-09-10,0.20642424242424223,Phoenix,04013
2020-09-11,-0.0138888888888885,Phoenix,04013
